"id","zip_type","zip","zip_complement","short_name","long_name","state_id:id","country_id:id"
6414,30,6021,0,"Emmenbrücke 1","Emmenbrücke 1","res_country_state_ch_lu","base.ch"
6415,30,6391,0,"Engelberg","Engelberg","res_country_state_ch_ow","base.ch"
6416,30,6281,0,"Hochdorf","Hochdorf","res_country_state_ch_lu","base.ch"
6417,30,6011,0,"Kriens","Kriens","res_country_state_ch_lu","base.ch"
6418,30,6061,0,"Sarnen 1","Sarnen 1","res_country_state_ch_ow","base.ch"
6419,30,6371,0,"Stans","Stans","res_country_state_ch_nw","base.ch"
6420,30,6431,0,"Schwyz","Schwyz","res_country_state_ch_sz","base.ch"
6422,80,8302,75,"Kloten Kaserne","Kloten Kaserne","res_country_state_ch_zh","base.ch"
6427,40,9025,0,"St. Gallen Quelle","St. Gallen Quelle","res_country_state_ch_sg","base.ch"
6428,20,8725,2,"Gebertingen","Gebertingen","res_country_state_ch_sg","base.ch"
6429,80,6900,7,"Lugano 7","Lugano 7","res_country_state_ch_ti","base.ch"
6430,30,6907,0,"Lugano 7 Caselle","Lugano 7 Loreto Caselle","res_country_state_ch_ti","base.ch"
6431,40,1240,0,"Genève","Genève","res_country_state_ch_ge","base.ch"
6433,30,9471,1,"Buchs SG 1","Buchs SG 1","res_country_state_ch_sg","base.ch"
6435,30,9471,3,"Buchs SG 3","Buchs SG 3","res_country_state_ch_sg","base.ch"
6436,30,1260,2,"Nyon 2","Nyon 2","res_country_state_ch_vd","base.ch"
6437,30,1260,1,"Nyon 1","Nyon 1","res_country_state_ch_vd","base.ch"
6438,80,1530,75,"Payerne Caserne","Payerne Caserne","res_country_state_ch_vd","base.ch"
6439,80,8903,75,"Birmensdorf ZH Kas","Birmensdorf ZH Kaserne","res_country_state_ch_zh","base.ch"
6440,80,8180,75,"Bülach Kaserne","Bülach Kaserne","res_country_state_ch_zh","base.ch"
6441,80,8600,75,"Dübendorf Kaserne","Dübendorf Kaserne","res_country_state_ch_zh","base.ch"
6442,80,8500,75,"Frauenfeld Kaserne","Frauenfeld Kaserne","res_country_state_ch_tg","base.ch"
6444,30,9401,0,"Rorschach","Rorschach","res_country_state_ch_sg","base.ch"
6445,30,9501,0,"Wil SG 1","Wil SG 1","res_country_state_ch_sg","base.ch"
6446,80,3000,77,"Bern 77 SBV","Bern 77 SBV","res_country_state_ch_be","base.ch"
6447,30,5620,2,"Bremgarten AG 2","Bremgarten AG 2","res_country_state_ch_ag","base.ch"
6449,30,5620,1,"Bremgarten AG 1","Bremgarten AG 1","res_country_state_ch_ag","base.ch"
6455,80,8010,50,"Zürich BZ","Zürich Briefzentrum","res_country_state_ch_zh","base.ch"
6486,80,2800,76,"Delémont car post","Delémont car postal JU-NE","res_country_state_ch_ju","base.ch"
6496,40,1211,70,"Genève 70","Genève 70","res_country_state_ch_ge","base.ch"
6498,40,4509,0,"Solothurn","Solothurn","res_country_state_ch_so","base.ch"
6499,30,6060,4,"Sarnen 2","Sarnen 2","res_country_state_ch_ow","base.ch"
6508,80,6060,3,"Sarnen 2 Büntenp.","Sarnen 2 Büntenpark","res_country_state_ch_ow","base.ch"
6509,80,6060,1,"Sarnen 1","Sarnen 1","res_country_state_ch_ow","base.ch"
6511,20,1958,2,"Uvrier","Uvrier","res_country_state_ch_vs","base.ch"
6516,30,1211,5,"Genève 5","Genève 5","res_country_state_ch_ge","base.ch"
6518,40,1211,84,"Genève 84 Votation","Genève 84 Votations","res_country_state_ch_ge","base.ch"
6519,80,9014,60,"St. Gallen 14 Zust","St. Gallen 14 Zustellung","res_country_state_ch_sg","base.ch"
6520,80,3800,76,"Interlaken Pauto","Interlaken Postauto BE Ober","res_country_state_ch_be","base.ch"
6524,80,4000,76,"Basel Postauto","Basel Postauto Nordwestschw","res_country_state_ch_bs","base.ch"
6525,80,6000,76,"Luzern Postauto","Luzern Postauto Zentralschw","res_country_state_ch_lu","base.ch"
6526,80,8730,76,"Uznach Postauto","Uznach Postauto Linth-SZ-GL","res_country_state_ch_sg","base.ch"
6527,80,9001,76,"St. Gallen Postaut","St. Gallen Postauto SG-Azel","res_country_state_ch_sg","base.ch"
6531,40,4070,0,"Basel","Basel","res_country_state_ch_bs","base.ch"
6549,20,4524,2,"Balmberg","Balmberg","res_country_state_ch_so","base.ch"
6550,20,4524,3,"Oberbalmberg","Oberbalmberg","res_country_state_ch_so","base.ch"
6551,20,6156,2,"Luthern Bad","Luthern Bad","res_country_state_ch_lu","base.ch"
6552,80,5400,60,"Baden 1 Zustellung","Baden 1 Zustellung","res_country_state_ch_ag","base.ch"
6554,20,6260,4,"Mehlsecken","Mehlsecken","res_country_state_ch_lu","base.ch"
6555,30,6602,0,"Muralto","Muralto","res_country_state_ch_ti","base.ch"
6556,80,6161,0,"Entlebuch","Entlebuch Versandzentrum","res_country_state_ch_lu","base.ch"
